,usertoken,visGroup,trial_duration,vars,varIndex,prior_belief,prior_lwr,prior_upr,post_belief,post_lwr,post_upr,diff_belief,diff_uncertainty,pop_corr,sample_corr,post_error,post_error_abs,prior_uncertainty,post_uncertainty,prior_sd,post_sd,exclude
0,08zKHo8E,scatter,12198,Exercise amount_Body weight,2,-0.27800188786623364,-0.5587867050467954,0.0027829293143279976,-0.4624590284423909,-0.6615505041060714,-0.26336755277871043,-0.18446,-0.16339,-0.4,-0.38,-0.08245902844239089,0.08245902844239089,0.5615696343611234,0.398182951327361,0.14039240859028088,0.09954573783184026,0
1,08zKHo8E,band,14627,Government spending_Budget deficit,7,0.6108929758609063,0.3526580542898905,0.8691278974319219,1.0,0.9494134828445971,1.0,0.38911,-0.46588,0.9,0.88,0.12,0.12,0.5164698431420314,0.050586517155402855,0.1291174607855079,0.025293258577701427,0
2,08zKHo8E,band,6970,Immigrant population_Economic growth,9,0.4135270357549492,0.16227395100717978,0.6647801205027184,0.1465124078347635,-0.026892793586683398,0.3199176092562104,-0.26701,-0.1557,0.4,0.24,-0.0934875921652365,0.0934875921652365,0.5025061694955386,0.3468104028428938,0.1256265423738847,0.08670260071072344,0
3,08zKHo8E,band,17069,Income tax rate_Poverty rate,8,-0.7969501497932003,-0.9409313434970948,-0.6529689560893057,-0.054531912484938834,-0.29299616851721644,0.1839323435473388,0.74242,0.18897,0.0,-0.05,-0.004531912484938831,0.004531912484938831,0.2879623874077891,0.4769285120645552,0.07199059685194731,0.11923212801613882,0
4,08zKHo8E,band,14045,Labor union participation_Corporate profits,5,-0.5776011618433523,-0.7314602041665978,-0.4237421195201066,-0.6682088590900062,-0.7377183059717911,-0.5986994122082212,-0.09061,-0.1687,-0.4,-0.45,-0.21820885909000615,0.21820885909000615,0.30771808464649125,0.1390188937635699,0.07692952116162285,0.03475472344089248,0
5,08zKHo8E,scatter,23698,Temperature_Crime rate,3,0.3426228308566086,0.16768265692166628,0.5175630047915509,0.6725885714099333,0.6246943348309066,0.72048280798896,0.32997,-0.25409,0.4,0.57,0.10258857140993338,0.10258857140993338,0.34988034786988464,0.09578847315805339,0.08747008696747116,0.023947118289513347,0
6,08zKHo8E,scatter,12099,Temperature_Sales of Mittens,1,-0.8264738635443729,-0.8559937626104475,-0.7969539644782981,-0.9352566914502579,-0.9601110759932447,-0.9104023069072716,-0.10878,-0.00933,-0.9,-0.89,-0.0452566914502579,0.0452566914502579,0.059039798132149324,0.049708769085973104,0.014759949533037386,0.012427192271493415,0
7,08zKHo8E,band,8208,Vaccination rate_Rate of illness,6,-0.7399338373451636,-0.9073794133647546,-0.5724882613255728,-0.7948121403831534,-0.8260631860544063,-0.7635610947119005,-0.05488,-0.27239,-0.9,-0.93,0.13518785961684665,0.13518785961684665,0.33489115203918174,0.06250209134250584,0.08372278800979549,0.01562552283562646,0
8,08zKHo8E,scatter,16959,Weight_Price,4,0.8783560651263518,0.8177182210191865,0.9389939092335162,1.0,0.946793671090562,1.0,0.12164,-0.06807,0.9,0.93,0.06999999999999995,0.06999999999999995,0.12127568821432977,0.053206328909437994,0.030318922053582664,0.026603164454718997,0
9,08zKHo8E,scatter,29749,Yearly income_Height,0,0.3222537018733087,0.1234679314576368,0.5210394722889804,0.169988794320453,0.03572032288808291,0.3042572657528231,-0.15226,-0.12903,0.0,0.15,0.019988794320453,0.019988794320453,0.3975715408313436,0.26853694286474017,0.09939288520783596,0.06713423571618504,0
