,congruent,diffBelief,diffBeliefAbs,diffUncertainty,diffUncertaintyAbs,nDataShown,postBelief,postUncertainty,postUncertaintyLower,postUncertaintyUpper,preBelief,preUncerainty,preUncertaintyLower,preUncertaintyUpper,usertoken,varindex,vars,visGroup
0,true,1.0129998505296198,1.0129998505296198,0.38288782782216146,0.38288782782216146,10,-0.5901515864397138,1.1402363031776945,-1,0.14023630317769453,0.42284826408990606,1.523124130999856,-0.523124130999856,1,WROUBRgL,0,"Parental income
Children's SAT scores",line
1,false,1.0223546605282885,1.0223546605282885,1.1606897898222563,1.1606897898222563,10,-0.3842056435640544,0.7101805449839771,-0.029115371072065743,-0.7392959160560428,0.6381490169642341,1.8708703348062334,-0.8708703348062334,1,WROUBRgL,2,"College GPA
Post-college income",line
2,true,1.0566579194322574,1.0566579194322574,-0.016925206158220796,0.016925206158220796,10,-0.489274001551413,1.274961445591019,-1,0.274961445591019,0.5673839178808444,1.2580362394327982,-0.2580362394327982,1,WROUBRgL,3,"Number traffic violations
Car insurance premium",line
3,false,0.27335919630271954,0.27335919630271954,0.7997173245253544,0.7997173245253544,100,-0.019283946043659572,0.18686460058610233,-0.11271624633671062,0.0741483542493917,0.25407525025905997,0.9865819251114567,-0.23921571229666844,0.7473662128147882,WROUBRgL,4,"Immigrant population
Crime rate",line
4,false,0.9557069661893629,0.9557069661893629,-0.18404188755012774,0.18404188755012774,10,-0.9742423561728124,0.8850483625304184,-0.11495163746958165,-1,-0.018535389983449557,0.7010064749802907,-0.3690386274735951,0.3319678475066956,WROUBRgL,5,"Years of education
Income",line
5,false,-0.08196404913975613,0.08196404913975613,-0.2673940869998647,0.2673940869998647,100,-0.41959922742928996,0.5061265959644634,-0.1665359294470583,-0.6726625254115217,-0.5015632765690461,0.2387325089645987,-0.3821970220867467,-0.6209295310513454,WROUBRgL,6,"Number of movies attended
Amount red meat eaten",line
6,true,-1.1682300059667796,1.1682300059667796,-0.07691977358920776,0.07691977358920776,10,0.2503538782083168,1.5901961050790507,-0.5901961050790507,1,-0.9178761277584628,1.513276331489843,-1,0.513276331489843,WROUBRgL,7,"Hours of TV watched in a month
Number of books read in a month",line
7,false,-0.19451931810151835,0.19451931810151835,0.1915131506388057,0.1915131506388057,100,0.08180307176480772,1.1825665940603116,-0.5094802252653481,0.6730863687949635,-0.11271624633671062,1.3740797446991173,-0.7997561186862692,0.5743236260128481,WROUBRgL,8,"Annual carbon emissions
Global temperature increase",line
8,true,-0.3074961108486418,0.3074961108486418,-0.19341904077759597,0.19341904077759597,10,-0.13694497045722143,1.7429047154321475,-1,0.7429047154321475,-0.44444108130586324,1.5494856746545516,-1,0.5494856746545516,WROUBRgL,9,"Height
College GPA",line
9,true,-0.49569370897120035,0.49569370897120035,-0.5779526388990928,0.5779526388990928,100,0.6450070076889924,1.5529654277246858,-0.5529654277246858,1,0.1493132987177921,0.9750127888255931,-0.3381930956950043,0.6368196931305887,WROUBRgL,10,"Proportion of residents in poverty
Crime rate",line
10,true,0.624305773876763,0.624305773876763,-0.14551390393788743,0.14551390393788743,100,-0.5553681381040174,1.7120416801884772,-1,0.7120416801884772,0.06893763577274559,1.5665277762505898,-0.7143262523525493,0.8522015238980405,WROUBRgL,11,"Avg. hours on social media
Avg. hours of sleep",line
11,true,0.38509953361408744,0.38509953361408744,0.24264701295251312,0.24264701295251312,100,0.24637094568875728,1.2913149745789982,-0.39928654160074184,0.8920284329782564,0.6314704793028447,1.5339619875315114,-0.5339619875315114,1,WROUBRgL,12,"Avg. hours on social media
Depression severity",line
12,false,0.7311067204314659,0.7311067204314659,0.46351493668634847,0.46351493668634847,10,-0.7019174632114842,1.4781065488736882,-1,0.4781065488736882,0.029189257219981668,1.9416214855600367,-0.9416214855600367,1,WROUBRgL,13,"Number of religious population
racial diversity",line
13,false,0.8899732280610229,0.8899732280610229,0.05368198455477469,0.05368198455477469,100,0.11002677193897714,1.2736481389183782,-0.526797297520212,0.7468508413981663,1,1.327330123473153,-0.32733012347315293,1,WROUBRgL,14,"Minimum wage
Unemployment rate",line
14,false,0.6990507843677252,0.6990507843677252,0.8308315153233397,0.8308315153233397,10,-0.1865519942650215,1.1691684846766603,-0.7711362366033516,0.3980322480733087,0.5124987901027036,2.0,-1,1,WROUBRgL,15,"Homeless population
Uninsured population",line
15,true,-0.5002147327691369,0.5002147327691369,0.8631409275995221,0.8631409275995221,10,1,0.25301247348929223,0.7469875265107078,1,0.49978526723086314,1.1161534010888143,-0.11615340108881428,1,ZRcA86o5,0,"Hours of TV watched in a month
Number of books read in a month",hop
16,true,0.0,0.0,-0.4887350348564079,0.4887350348564079,100,1,0.8487235095103289,0.15127649048967107,1,1,0.35998847465392103,0.640011525346079,1,ZRcA86o5,1,"Avg. hours on social media
Depression severity",hop
17,false,0.48545866787055686,0.48545866787055686,0.5175414474062683,0.5175414474062683,10,-0.8990497706239158,0.20190045875216867,-0.7980995412478313,-1,-0.4135911027533589,0.719441906158437,-0.053870149674140444,-0.7733120558325774,ZRcA86o5,2,"Years of education
Income",hop
18,false,-0.2854256590983206,0.2854256590983206,1.2364422656775227,1.2364422656775227,10,1,0.7635577343224773,0.2364422656775227,1,0.7145743409016794,2.0,-1,1,ZRcA86o5,3,"College GPA
Post-college income",hop
19,true,-0.4718421222717899,0.4718421222717899,-0.27683441095836653,0.27683441095836653,10,-0.5281578777282101,0.27683441095836653,-0.3897406722490268,-0.6665750832073933,-1,0.0,-1,-1,ZRcA86o5,5,"Parental income
Children's SAT scores",hop
20,false,-0.24728224495206175,0.24728224495206175,-0.0019607115278099663,0.0019607115278099663,100,-0.5797452884355285,0.3479056447526294,-0.4057924660592138,-0.7536981108118432,-0.8270275333875903,0.34594493322481945,-0.6540550667751805,-1,ZRcA86o5,6,"Immigrant population
Crime rate",hop
21,false,-0.362175788626272,0.362175788626272,0.3517618792092403,0.3517618792092403,10,-0.637824211373728,0.27784552816950825,-0.4989014472889739,-0.7767469754584821,-1,0.6296074073787485,-0.37039259262125146,-1,ZRcA86o5,8,"Number of religious population
racial diversity",hop
22,true,0.3784761079463974,0.3784761079463974,0.6315237107982126,0.6315237107982126,10,-1,0.12542850509458225,-0.8745714949054177,-1,-0.6215238920536026,0.7569522158927948,-0.24304778410720512,-1,ZRcA86o5,9,"Number traffic violations
Car insurance premium",hop
23,false,0.267259953467446,0.267259953467446,0.0428591415859651,0.0428591415859651,100,-0.5195550388041483,0.0,-0.5195550388041483,-0.5195550388041483,-0.2522950853367023,0.0428591415859651,-0.23086551454371979,-0.2737246561296849,ZRcA86o5,10,"Annual carbon emissions
Global temperature increase",hop
24,true,0.39873976364386854,0.39873976364386854,0.17457916782863458,0.17457916782863458,100,0.29700624464240444,0.9324194969753128,-0.16920350384525196,0.7632159931300608,0.695746008286273,1.1069986648039474,-0.10699866480394732,1,ZRcA86o5,13,"Amount of rainfall
Number of sunny days",hop
25,true,0.07505060306285616,0.07505060306285616,0.008951278055571832,0.008951278055571832,100,0.3683540188540497,0.5328593370731174,0.10192435031749092,0.6347836873906083,0.4434046219169059,0.5418106151286892,0.17249931435256127,0.7143099294812505,ZRcA86o5,14,"Avg. hours on social media
Avg. hours of sleep",hop
26,true,0.1858237754084051,0.1858237754084051,0.40270501094324906,0.40270501094324906,10,0.4826767174463795,0.26029400334718167,0.3525297157727889,0.6128237191199706,0.6685004928547846,0.6629990142904307,0.33700098570956927,1,hbqFF73D,0,"Parental income
Children's SAT scores",hop
27,true,0.6356867338452739,0.6356867338452739,-1.4337956211004934,1.4337956211004934,100,0.08121107670497274,2.0,-1,1,0.7168978105502466,0.5662043788995066,0.4337956211004934,1,hbqFF73D,1,"Amount of rainfall
Number of sunny days",hop
28,false,1.2281146842731439,1.2281146842731439,-0.2986262206430692,0.2986262206430692,100,-0.288079080249495,0.8528899012941644,-0.7145240308965772,0.1383658703975872,0.9400356040236488,0.5542636806510952,0.4457363193489048,1,hbqFF73D,2,"Annual carbon emissions
Global temperature increase",hop
29,false,-0.9921079684881706,0.9921079684881706,-0.27275531577856055,0.27275531577856055,100,0.6649752048959787,0.6700495902080428,0.3299504097919572,1,-0.3271327635921919,0.39729427442948223,-0.1284856263774508,-0.525779900806933,hbqFF73D,3,"Minimum wage
Unemployment rate",hop
30,false,0.7799621807466663,0.7799621807466663,-0.06845016275809002,0.06845016275809002,10,-0.045823667887284036,0.4845108247244221,-0.288079080249495,0.19643174447492706,0.7341385128593823,0.41606066196633207,0.5261081818762161,0.9421688438425482,hbqFF73D,5,"Homeless population
Uninsured population",hop
31,true,-0.26602047659458283,0.26602047659458283,0.43519306827637116,0.43519306827637116,10,0.5463602812658275,0.3953981900977839,0.34866118621693554,0.7440593763147194,0.28033980467124464,0.830591258374155,-0.13495582451583288,0.6956354338583222,hbqFF73D,6,"Number traffic violations
Car insurance premium",hop
32,true,0.09956459735247325,0.09956459735247325,0.5420648069718121,0.5420648069718121,100,-0.7893110193389656,0.07844234905520309,-0.750089844811364,-0.8285321938665671,-0.6897464219864924,0.6205071560270152,-0.37949284397298483,-1,hbqFF73D,7,"Avg. hours on social media
Avg. hours of sleep",hop
33,true,0.10529154174798161,0.10529154174798161,0.26920287690951206,0.26920287690951206,10,-0.9571133666541136,0.027153473278223927,-0.9435366300150017,-0.9706901032932256,-0.851821824906132,0.296356350187736,-0.703643649812264,-1,hbqFF73D,8,"Hours of TV watched in a month
Number of books read in a month",hop
